Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","100","India","5510","Production","289","Sesame seed","2000","2000","tonnes","517800","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2001","2001","tonnes","697800","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2002","2002","tonnes","441300","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2003","2003","tonnes","782100","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2004","2004","tonnes","674100","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2005","2005","tonnes","641100","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2006","2006","tonnes","618000","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2007","2007","tonnes","756900","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2008","2008","tonnes","640300","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2009","2009","tonnes","588400","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2010","2010","tonnes","893000","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2011","2011","tonnes","810000","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2012","2012","tonnes","685000","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2013","2013","tonnes","715000","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2014","2014","tonnes","828000","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2015","2015","tonnes","850000","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2016","2016","tonnes","747000","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2017","2017","tonnes","755000","","Official data"
"QC","Crops","100","India","5510","Production","289","Sesame seed","2018","2018","tonnes","746000","","Official data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2000","2000","tonnes","2859283","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2001","2001","tonnes","3057028","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2002","2002","tonnes","2809010","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2003","2003","tonnes","3092590","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2004","2004","tonnes","3358468","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2005","2005","tonnes","3400701","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2006","2006","tonnes","3600801","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2007","2007","tonnes","3631014","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2008","2008","tonnes","3726669","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2009","2009","tonnes","3866309","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2010","2010","tonnes","4322073","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2011","2011","tonnes","4712547","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2012","2012","tonnes","5406876","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2013","2013","tonnes","6007159","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2014","2014","tonnes","6538281","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2015","2015","tonnes","5985974","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2016","2016","tonnes","5333616","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2017","2017","tonnes","5776602","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","289","Sesame seed","2018","2018","tonnes","6015573","A","Aggregate, may include official, semi-official, estimated or calculated data"
